BFItem      1806, 1, 16881, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem      1809, 2, 19905, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       502, 3, 25567, FF:1B:2F:FB:89:01, -67, -40, 37
BFItem       505, 4, 28594, FF:1B:2F:FB:89:01, -68, -40, 37
BFItem      1820, 5, 30986, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       516, 6, 39672, FF:1B:2F:FB:89:01, -68, -40, 37
BFItem       519, 7, 42688, FF:1B:2F:FB:89:01, -67, -40, 37
BFItem      1834, 8, 45079, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       522, 9, 45708, FF:1B:2F:FB:89:01, -67, -40, 37
BFItem      1837, 10, 48101, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       533, 11, 56799, FF:1B:2F:FB:89:01, -68, -40, 37
BFItem      1848, 12, 59193, C6:51:BC:E4:0A:00, -75, -40, 37
BFItem      1851, 13, 62208, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       544, 14, 67866, FF:1B:2F:FB:89:01, -67, -40, 37
BFItem      1859, 15, 70273, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       547, 16, 70889, FF:1B:2F:FB:89:01, -67, -40, 37
BFItem      1862, 17, 73295, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       558, 18, 81967, FF:1B:2F:FB:89:01, -68, -40, 37
BFItem      1873, 19, 84372, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       561, 20, 84988, FF:1B:2F:FB:89:01, -68, -40, 37
BFItem      1879, 21, 90405, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       572, 22, 96077, FF:1B:2F:FB:89:01, -68, -40, 37
BFItem      1887, 23, 98472, C6:51:BC:E4:0A:00, -74, -40, 37
BFItem       575, 24, 99101, FF:1B:2F:FB:89:01, -68, -40, 37
BFItem      1890, 25, 101493, C6:51:BC:E4:0A:00, -74, -40, 37
