BFItem      1380, 1, 6120, FF:1B:2F:FB:89:02, -23, 8, 38
BFItem      1486, 2, 6430, CD:2C:DF:8F:F4:01, -17, 8, 38
BFItem      3243, 3, 6535, C6:51:BC:E4:0A:00, -42, 8, 39
BFItem      1381, 4, 7134, FF:1B:2F:FB:89:02, -21, 8, 39
BFItem      1487, 5, 7438, CD:2C:DF:8F:F4:01, -18, 8, 39
BFItem      1382, 6, 8141, FF:1B:2F:FB:89:02, -26, 8, 37
BFItem      1488, 7, 8450, CD:2C:DF:8F:F4:01, -18, 8, 37
BFItem      3245, 8, 8560, C6:51:BC:E4:0A:00, -33, 8, 38
BFItem      1383, 9, 9150, FF:1B:2F:FB:89:02, -23, 8, 38
BFItem      1489, 10, 9464, CD:2C:DF:8F:F4:01, -17, 8, 38
BFItem        67, 11, 10021, C6:0D:29:0E:D8:04, -49, 8, 38
BFItem      1384, 12, 10155, FF:1B:2F:FB:89:02, -21, 8, 39
BFItem       209, 13, 10419, D1:83:FE:03:9C:03, -34, 8, 39
BFItem        68, 14, 11033, C6:0D:29:0E:D8:04, -42, 8, 39
BFItem      1385, 15, 11162, FF:1B:2F:FB:89:02, -26, 8, 37
BFItem       210, 16, 11430, D1:83:FE:03:9C:03, -36, 8, 37
BFItem        69, 17, 12037, C6:0D:29:0E:D8:04, -43, 8, 37
BFItem       211, 18, 12443, D1:83:FE:03:9C:03, -45, 8, 38
BFItem        70, 19, 13045, C6:0D:29:0E:D8:04, -53, 8, 38
BFItem       212, 20, 13453, D1:83:FE:03:9C:03, -34, 8, 39
BFItem        71, 21, 14056, C6:0D:29:0E:D8:04, -42, 8, 39
BFItem       213, 22, 14459, D1:83:FE:03:9C:03, -36, 8, 37
BFItem      1495, 23, 15516, CD:2C:DF:8F:F4:01, -19, 8, 39
BFItem      3252, 24, 15622, C6:51:BC:E4:0A:00, -30, 8, 37
BFItem      1390, 25, 16216, FF:1B:2F:FB:89:02, -26, 8, 37
BFItem      1496, 26, 16521, CD:2C:DF:8F:F4:01, -18, 8, 37
BFItem      3253, 27, 16635, C6:51:BC:E4:0A:00, -33, 8, 38
BFItem      1391, 28, 17225, FF:1B:2F:FB:89:02, -23, 8, 38
BFItem      1497, 29, 17532, CD:2C:DF:8F:F4:01, -17, 8, 38
BFItem      3254, 30, 17644, C6:51:BC:E4:0A:00, -42, 8, 39
BFItem      1392, 31, 18239, FF:1B:2F:FB:89:02, -21, 8, 39
BFItem      1498, 32, 18543, CD:2C:DF:8F:F4:01, -19, 8, 39
BFItem      3255, 33, 18652, C6:51:BC:E4:0A:00, -30, 8, 37
BFItem      1393, 34, 19243, FF:1B:2F:FB:89:02, -26, 8, 37
BFItem      1499, 35, 19546, CD:2C:DF:8F:F4:01, -18, 8, 37
BFItem      3256, 36, 19661, C6:51:BC:E4:0A:00, -33, 8, 38
BFItem      1394, 37, 20251, FF:1B:2F:FB:89:02, -23, 8, 38
BFItem      1500, 38, 20558, CD:2C:DF:8F:F4:01, -17, 8, 38
BFItem        78, 39, 21118, C6:0D:29:0E:D8:04, -50, 8, 38
BFItem      1395, 40, 21259, FF:1B:2F:FB:89:02, -21, 8, 39
BFItem       220, 41, 21518, D1:83:FE:03:9C:03, -34, 8, 39
BFItem        79, 42, 22125, C6:0D:29:0E:D8:04, -48, 8, 39
BFItem      1396, 43, 22264, FF:1B:2F:FB:89:02, -26, 8, 37
BFItem       221, 44, 22529, D1:83:FE:03:9C:03, -37, 8, 37
BFItem        80, 45, 23133, C6:0D:29:0E:D8:04, -43, 8, 37
BFItem       222, 46, 23540, D1:83:FE:03:9C:03, -45, 8, 38
BFItem        81, 47, 24143, C6:0D:29:0E:D8:04, -50, 8, 38
BFItem       223, 48, 24546, D1:83:FE:03:9C:03, -34, 8, 39
BFItem        82, 49, 25150, C6:0D:29:0E:D8:04, -41, 8, 39
BFItem       224, 50, 25551, D1:83:FE:03:9C:03, -35, 8, 37
BFItem      3262, 51, 25715, C6:51:BC:E4:0A:00, -42, 8, 39
BFItem        83, 52, 26159, C6:0D:29:0E:D8:04, -44, 8, 37
BFItem       225, 53, 26557, D1:83:FE:03:9C:03, -45, 8, 38
BFItem      1506, 54, 26618, CD:2C:DF:8F:F4:01, -18, 8, 39
BFItem      3263, 55, 26719, C6:51:BC:E4:0A:00, -30, 8, 37
BFItem      1507, 56, 27628, CD:2C:DF:8F:F4:01, -18, 8, 37
BFItem      3264, 57, 27725, C6:51:BC:E4:0A:00, -33, 8, 38
BFItem      1402, 58, 28316, FF:1B:2F:FB:89:02, -23, 8, 38
BFItem      1508, 59, 28644, CD:2C:DF:8F:F4:01, -17, 8, 38
BFItem      3265, 60, 28738, C6:51:BC:E4:0A:00, -42, 8, 39
BFItem      1403, 61, 29325, FF:1B:2F:FB:89:02, -21, 8, 39
BFItem      1509, 62, 29650, CD:2C:DF:8F:F4:01, -18, 8, 39
BFItem      3266, 63, 29746, C6:51:BC:E4:0A:00, -30, 8, 37
BFItem      1404, 64, 30331, FF:1B:2F:FB:89:02, -26, 8, 37
BFItem      1510, 65, 30659, CD:2C:DF:8F:F4:01, -18, 8, 37
BFItem      3267, 66, 30756, C6:51:BC:E4:0A:00, -33, 8, 38
BFItem      1405, 67, 31338, FF:1B:2F:FB:89:02, -23, 8, 38
BFItem      1406, 68, 32348, FF:1B:2F:FB:89:02, -21, 8, 39
BFItem        90, 69, 33224, C6:0D:29:0E:D8:04, -39, 8, 39
BFItem      1407, 70, 33360, FF:1B:2F:FB:89:02, -26, 8, 37
